participantPseudonym,locale,experience,task,mode,completedUnaided,dossierComplete,inventedCriticalFactCount,unauthorizedMutationCount,crossUserExposureCount,silentCommittedFactLossCount,automaticPublicationOrActivationCount,traceabilityPercent,initialBriefFactRecallPercent,durationSeconds,visualBuilderBaselineSeconds,criticalAccessibilityFailureCount,reviewTags
pilot-000000000001,en,new_author,standardized,guided,,,,,,,,,,,,,
pilot-000000000001,en,new_author,departmental,describe_everything,,,,,,,,,,,,,
pilot-000000000002,en,new_author,standardized,guided,,,,,,,,,,,,,
pilot-000000000002,en,new_author,departmental,similar_template,,,,,,,,,,,,,
pilot-000000000003,en,experienced_author,standardized,guided,,,,,,,,,,,,,
pilot-000000000003,en,experienced_author,departmental,guided,,,,,,,,,,,,,
pilot-000000000004,zh-Hant,new_author,standardized,guided,,,,,,,,,,,,,
pilot-000000000004,zh-Hant,new_author,departmental,describe_everything,,,,,,,,,,,,,
pilot-000000000005,zh-Hant,new_author,standardized,guided,,,,,,,,,,,,,
pilot-000000000005,zh-Hant,new_author,departmental,similar_template,,,,,,,,,,,,,
pilot-000000000006,zh-Hant,experienced_author,standardized,guided,,,,,,,,,,,,,
pilot-000000000006,zh-Hant,experienced_author,departmental,guided,,,,,,,,,,,,,
pilot-000000000007,zh-Hans,new_author,standardized,guided,,,,,,,,,,,,,
pilot-000000000007,zh-Hans,new_author,departmental,describe_everything,,,,,,,,,,,,,
pilot-000000000008,zh-Hans,new_author,standardized,guided,,,,,,,,,,,,,
pilot-000000000008,zh-Hans,new_author,departmental,similar_template,,,,,,,,,,,,,
pilot-000000000009,zh-Hans,experienced_author,standardized,guided,,,,,,,,,,,,,
pilot-000000000009,zh-Hans,experienced_author,departmental,guided,,,,,,,,,,,,,
