record_type,item_id,item_version,locale,candidate_fingerprint,technical_or_decision_name,semantic_contract,primary_text,explanation_or_tip,example,workflow_effect_or_options,candidate_status,reviewer_name,reviewer_decision,reviewed_at_rfc3339,evidence_reference,reviewer_comments
"concept","copilot.workflow.name","1.0","en","fnv1a64:4a149e693daab18d","workflow_display_name","names.workflow | does_not_route","Workflow name","The short name employees use to find and recognise this approval process.","Supplier payment request","It changes how the workflow is listed and searched; it does not change who approves.","approved","","","","",""
"concept","copilot.workflow.name","1.0","zh-Hant","fnv1a64:4a149e693daab18d","workflow_display_name","names.workflow | does_not_route","流程名稱","這是同事用來尋找及辨認審批流程的簡短名稱。","供應商付款申請","名稱只影響流程在清單和搜尋中的顯示，不會改變審批人。","approved","","","","",""
"concept","copilot.workflow.name","1.0","zh-Hans","fnv1a64:4a149e693daab18d","workflow_display_name","names.workflow | does_not_route","流程名称","这是员工用来查找和识别审批流程的简短名称。","供应商付款申请","名称只影响流程在列表和搜索中的显示，不会改变审批人。","approved","","","","",""
"concept","copilot.workflow.purpose","1.0","en","fnv1a64:4a149e693daab18d","workflow_business_purpose","describes.business_outcome | does_not_route","Business purpose","The practical business job this workflow is meant to complete.","Approve supplier payments before Finance pays them.","It helps employees and reviewers understand when the workflow should be used.","approved","","","","",""
"concept","copilot.workflow.purpose","1.0","zh-Hant","fnv1a64:4a149e693daab18d","workflow_business_purpose","describes.business_outcome | does_not_route","業務目的","這是流程要完成的實際業務工作。","在財務付款前審批供應商付款。","它協助同事及審批人判斷何時應使用此流程。","approved","","","","",""
"concept","copilot.workflow.purpose","1.0","zh-Hans","fnv1a64:4a149e693daab18d","workflow_business_purpose","describes.business_outcome | does_not_route","业务目的","这是流程要完成的实际业务工作。","在财务付款前审批供应商付款。","它帮助员工和审批人判断何时应使用此流程。","approved","","","","",""
"concept","copilot.workflow.scope","1.0","en","fnv1a64:4a149e693daab18d","workflow_request_scope","includes.request_types | excludes.request_types","Requests covered","This defines which kinds of request belong in this workflow and which similar requests do not.","Use it for supplier invoices, but not for employee expense claims.","It helps requesters choose the correct workflow and keeps unrelated requests out.","approved","","","","",""
"concept","copilot.workflow.scope","1.0","zh-Hant","fnv1a64:4a149e693daab18d","workflow_request_scope","includes.request_types | excludes.request_types","適用申請","這項資料界定哪些申請應使用此流程，以及哪些相近申請不應使用。","供應商發票使用此流程；員工報銷則使用其他流程。","它協助申請人選擇正確流程，避免不相關申請進入。","approved","","","","",""
"concept","copilot.workflow.scope","1.0","zh-Hans","fnv1a64:4a149e693daab18d","workflow_request_scope","includes.request_types | excludes.request_types","适用申请","这项信息界定哪些申请应使用此流程，以及哪些相近申请不应使用。","供应商发票使用此流程；员工报销则使用其他流程。","它帮助申请人选择正确流程，避免无关申请进入。","approved","","","","",""
"concept","copilot.request.initiator_policy","1.0","en","fnv1a64:4a149e693daab18d","request_initiator_policy","controls.who_can_start | may_use.directory_roles","Who may start a request","This decides whether every employee or only people in named job roles may submit a new request.","Only Procurement Managers and Finance Officers may start it.","It controls access to the request form; it does not decide who approves later.","approved","","","","",""
"concept","copilot.request.initiator_policy","1.0","zh-Hant","fnv1a64:4a149e693daab18d","request_initiator_policy","controls.who_can_start | may_use.directory_roles","誰可發起申請","這項設定決定所有員工都可提交，還是只有指定職位的同事可提交新申請。","只有採購經理及財務主任可以發起申請。","它控制誰可使用申請表格，不會決定之後由誰審批。","approved","","","","",""
